framework,topic,n_msgs,mean_ms,median_ms,max_ms,mean_hz
NVBlox,/nvblox_node/mesh,327,381.6,385.7,4014.6,12.18
RTAB-Map,/rtabmap/mapData,26,4982.6,4628.3,7497.8,0.21
OctoMap,/octomap_point_cloud_centers,117,1138.2,1265.0,1686.3,1.1
